Date;Open;High;Low;Close;Adj Close;Volume
12/12/1980;0.128348;0.128906;0.128348;0.128348;0.09945;469033600
15/12/1980;0.12221;0.12221;0.121652;0.121652;0.094261;175884800
16/12/1980;0.113281;0.113281;0.112723;0.112723;0.087343;105728000
17/12/1980;0.115513;0.116071;0.115513;0.115513;0.089504;86441600
18/12/1980;0.118862;0.11942;0.118862;0.118862;0.092099;73449600
19/12/1980;0.126116;0.126674;0.126116;0.126116;0.09772;48630400
22/12/1980;0.132254;0.132813;0.132254;0.132254;0.102476;37363200
23/12/1980;0.137835;0.138393;0.137835;0.137835;0.1068;46950400
24/12/1980;0.145089;0.145647;0.145089;0.145089;0.112421;48003200
26/12/1980;0.158482;0.15904;0.158482;0.158482;0.122799;55574400
29/12/1980;0.160714;0.161272;0.160714;0.160714;0.124528;93161600
30/12/1980;0.157366;0.157366;0.156808;0.156808;0.121502;68880000
31/12/1980;0.152902;0.152902;0.152344;0.152344;0.118043;35750400
02/01/1981;0.154018;0.155134;0.154018;0.154018;0.11934;21660800
05/01/1981;0.151228;0.151228;0.15067;0.15067;0.116746;35728000
06/01/1981;0.144531;0.144531;0.143973;0.143973;0.111556;45158400
07/01/1981;0.138393;0.138393;0.137835;0.137835;0.1068;55686400
08/01/1981;0.135603;0.135603;0.135045;0.135045;0.104639;39827200
09/01/1981;0.142299;0.142857;0.142299;0.142299;0.110259;21504000
12/01/1981;0.142299;0.142299;0.141183;0.141183;0.109395;23699200
13/01/1981;0.136719;0.136719;0.136161;0.136161;0.105503;23049600
14/01/1981;0.136719;0.137277;0.136719;0.136719;0.105936;14291200
15/01/1981;0.139509;0.140625;0.139509;0.139509;0.108098;14067200
16/01/1981;0.138951;0.138951;0.138393;0.138393;0.107233;13395200
19/01/1981;0.146763;0.147321;0.146763;0.146763;0.113718;41574400
20/01/1981;0.142857;0.142857;0.142299;0.142299;0.110259;30083200
21/01/1981;0.145089;0.146205;0.145089;0.145089;0.112421;15904000
22/01/1981;0.146763;0.147879;0.146763;0.146763;0.113718;35548800
23/01/1981;0.146763;0.147321;0.146205;0.146205;0.113286;11222400
26/01/1981;0.144531;0.144531;0.143973;0.143973;0.111556;24640000
27/01/1981;0.143973;0.143973;0.142857;0.142857;0.110692;23699200
28/01/1981;0.138951;0.138951;0.138393;0.138393;0.107233;28156800
29/01/1981;0.133929;0.133929;0.133371;0.133371;0.103342;43904000
30/01/1981;0.127232;0.127232;0.126116;0.126116;0.09772;46188800
02/02/1981;0.11942;0.11942;0.118862;0.118862;0.092099;23766400
03/02/1981;0.123326;0.123884;0.123326;0.123326;0.095558;19152000
04/02/1981;0.12779;0.128348;0.12779;0.12779;0.099017;27865600
05/02/1981;0.12779;0.128906;0.12779;0.12779;0.099017;7929600
06/02/1981;0.128348;0.128906;0.128348;0.128348;0.09945;13865600
09/02/1981;0.122768;0.122768;0.121652;0.121652;0.094261;16755200
10/02/1981;0.121652;0.12221;0.121652;0.121652;0.094261;18345600
11/02/1981;0.118304;0.118304;0.117746;0.117746;0.091235;13843200
12/02/1981;0.117188;0.117188;0.116629;0.116629;0.090369;14560000
13/02/1981;0.114955;0.114955;0.113839;0.113839;0.088207;11155200
17/02/1981;0.116629;0.117188;0.116629;0.116629;0.090369;12275200
18/02/1981;0.121652;0.122768;0.121652;0.121652;0.094261;19241600
19/02/1981;0.114955;0.114955;0.114397;0.114397;0.08864;22310400
20/02/1981;0.108817;0.108817;0.108259;0.108259;0.083884;24371200
23/02/1981;0.109933;0.110491;0.109933;0.109933;0.085181;14112000
24/02/1981;0.107143;0.107143;0.106027;0.106027;0.082154;16979200
25/02/1981;0.112723;0.113281;0.112723;0.112723;0.087343;19488000
26/02/1981;0.114397;0.114955;0.114397;0.114397;0.08864;10841600
27/02/1981;0.118304;0.11942;0.118304;0.118304;0.091667;14761600
02/03/1981;0.118862;0.11942;0.118862;0.118862;0.092099;11760000
03/03/1981;0.117746;0.117746;0.117188;0.117188;0.090802;16172800
04/03/1981;0.116629;0.116629;0.116071;0.116071;0.089937;13708800
05/03/1981;0.116071;0.116071;0.115513;0.115513;0.089504;5376000
06/03/1981;0.115513;0.115513;0.114397;0.114397;0.08864;11603200
09/03/1981;0.106027;0.106027;0.105469;0.105469;0.081722;15321600
10/03/1981;0.101004;0.101004;0.100446;0.100446;0.07783;28380800
11/03/1981;0.097656;0.097656;0.09654;0.09654;0.074803;29859200
12/03/1981;0.100446;0.101004;0.100446;0.100446;0.07783;59248000
13/03/1981;0.099888;0.099888;0.09933;0.09933;0.076965;231302400
16/03/1981;0.103237;0.104353;0.103237;0.103237;0.079992;37228800
17/03/1981;0.108259;0.109375;0.108259;0.108259;0.083884;43747200
18/03/1981;0.114955;0.116071;0.114955;0.114955;0.089072;36937600
19/03/1981;0.114397;0.114397;0.113839;0.113839;0.088207;37811200
20/03/1981;0.114955;0.116071;0.114955;0.114955;0.089072;14604800
23/03/1981;0.11942;0.120536;0.11942;0.11942;0.092532;22019200
24/03/1981;0.11942;0.11942;0.118862;0.118862;0.092099;28156800
25/03/1981;0.117746;0.117746;0.116629;0.116629;0.090369;7056000
26/03/1981;0.114955;0.114955;0.114397;0.114397;0.08864;12275200
